Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong (West),2020,6,26,0,0,0,0,28.7,31.8,26.5,7.4,29.1
Jurong (West),2020,6,27,0,0,0,0,28.8,31.2,27.5,8.9,33.9
Jurong (West),2020,6,28,0.2,0.2,0.2,0.2,29,31.8,27.6,9.5,36.3
Jurong (West),2020,6,29,0,0,0,0,29.2,31.8,28.2,9.2,34.6
Jurong (West),2020,6,30,0,0,0,0,29.3,32.3,27.5,10.9,31.7
Jurong (West),2020,7,1,0,0,0,0,28.8,31.5,27.9,7.8,27
Jurong (West),2020,7,2,0,0,0,0,29,31.9,27.3,9.7,30.9
Jurong (West),2020,7,3,0,0,0,0,29.2,32.1,28,9.3,30.9
Jurong (West),2020,7,4,54.4,43.6,53.4,54.4,28.2,32,21.4,8.8,32.4
Jurong (West),2020,7,5,37.4,33.4,37.2,37.2,27,32.6,22.4,6.2,60.6
Jurong (West),2020,7,6,5.2,5.2,5.2,5.2,27.5,31.4,25,7.3,32.8
Jurong (West),2020,7,7,9.2,4.4,4.8,6.6,26.3,30.7,24,5.6,29.8
Jurong (West),2020,7,8,0.8,0.6,0.6,0.8,26.3,28.8,24.5,5.8,26.7
Jurong (West),2020,7,9,22.8,7.8,8,11,25.2,27.1,23.2,8.9,35
Jurong (West),2020,7,10,0,0,0,0,27.3,30.4,24.5,6.3,26.3
Jurong (West),2020,7,11,0.8,0.8,0.8,0.8,27.4,29.7,24.4,6.8,28.5
Jurong (West),2020,7,12,4.6,3.2,3.2,4.6,27.7,30.7,24.4,7.2,29.4
Jurong (West),2020,7,13,23.2,11,12.6,18.4,25.1,28.1,23.3,8.1,35.2
Jurong (West),2020,7,14,0,0,0,0,26.5,27.9,25.2,6.8,23.3
Jurong (West),2020,7,15,0,0,0,0,27.3,30,25.8,6.6,23
Jurong (West),2020,7,16,1,-,-,-,27.8,32.3,24.9,5.6,27.8
Jurong (West),2020,7,17,0.2,0.2,0.2,0.2,28.3,32,24.9,5.7,20.9
Jurong (West),2020,7,18,0,0,0,0,27.8,32.6,25.5,6.1,27.8
Jurong (West),2020,7,19,0,0,0,0,28.1,32,24.6,7.5,27.8
Jurong (West),2020,7,20,0,0,0,0,29,33,26.7,8.3,29.8
Jurong (West),2020,7,21,0,0,0,0,29,32.9,27.1,7.5,28.5
Jurong (West),2020,7,22,86.8,47,74.8,85.4,26.5,29.7,22.2,5.1,38.5
Jurong (West),2020,7,23,3.2,1.4,1.6,1.8,27,29.9,24.5,6.5,29.8
Jurong (West),2020,7,24,32.8,31.8,32.6,32.6,26.9,30.8,23.1,6,28.5
Jurong (West),2020,7,25,8.2,5.4,5.8,5.8,26.4,29.6,24.1,5.7,29.8
Jurong (West),2020,7,26,0,0,0,0,27.5,31.1,25,8.4,43.9
Jurong (West),2020,7,27,30.4,19.8,21.4,23.2,26.3,29.8,22.4,6.5,52.2
Jurong (West),2020,7,28,0.4,0.2,0.2,0.2,27.6,30.2,24.9,7.3,32.8
Jurong (West),2020,7,29,22,9,11,15.4,25.7,27.9,23.6,5.3,23.3
Jurong (West),2020,7,30,0,0,0,0,28,31.3,25,7.2,27.8
Jurong (West),2020,7,31,12.8,11.4,11.6,12.8,27.6,29.9,23.4,9,54.8
Jurong (West),2020,8,1,0.6,0.6,0.6,0.6,28,30.5,24.4,7.4,33.5
Jurong (West),2020,8,2,0,0,0,0,28.7,31.4,26.5,8.3,27
Jurong (West),2020,8,3,0,0,0,0,29.1,32.1,26.5,9,23.7
Jurong (West),2020,8,4,0,0,0,0,27.2,29.3,23.7,8.1,46.9
Jurong (West),2020,8,5,0,0,0,0,28.7,31.6,26.8,8.6,26.3
Jurong (West),2020,8,6,0,0,0,0,29.4,32.5,27.7,6.7,25.6
Jurong (West),2020,8,7,0,0,0,0,29.5,33.5,27.4,8.7,28.2
Jurong (West),2020,8,8,0,0,0,0,29.7,33.3,27.6,8.8,23
Jurong (West),2020,8,9,0,0,0,0,29.8,34.6,27.9,7.6,25.6
Jurong (West),2020,8,10,0,0,0,0,29.8,32.9,27.8,9.7,29.8
Jurong (West),2020,8,11,0,0,0,0,29.7,32.4,28.1,9,26.7
Jurong (West),2020,8,12,31.8,15.6,28,31,26.9,29.4,21.6,6.9,46.1
Jurong (West),2020,8,13,14.2,5.6,7.2,9.8,28.1,32,23.7,7.4,24.4
Jurong (West),2020,8,14,54,19.8,34,46,25.5,28.3,22.1,6.8,41.9
Jurong (West),2020,8,15,23.4,22.8,23.4,23.4,26.8,31.9,23.4,5.1,25.9
Jurong (West),2020,8,16,0.6,0.6,0.6,0.6,27.6,30.2,23.7,6.5,29.4
Jurong (West),2020,8,17,55,25,31.4,33.4,26.6,31.6,22.7,5.6,29.4
Jurong (West),2020,8,18,0,0,0,0,27,29.4,24.9,7.4,44.3
Jurong (West),2020,8,19,0,0,0,0,27.7,31.4,24.7,5.4,29.1
Jurong (West),2020,8,20,1,1,1,1,27.7,31.6,24.9,8.5,35.2
Jurong (West),2020,8,21,0,0,0,0,29.1,32.8,27.3,9.6,28.2
Jurong (West),2020,8,22,30.6,19.6,28.6,30.4,27.4,32.8,22.1,7.3,38.9
Jurong (West),2020,8,23,20.8,14,16,19.8,25,27,22.7,5,35.9
Jurong (West),2020,8,24,0,0,0,0,27.6,32.5,24.1,6.6,28.9
Jurong (West),2020,8,25,0,0,0,0,27.5,30.5,25.8,6.7,33.2
Jurong (West),2020,8,26,0.8,0.8,0.8,0.8,27,30.1,25.6,8.8,38.2
Jurong (West),2020,8,27,0,0,0,0,27.6,29.8,25.2,6.9,28.2
Jurong (West),2020,8,28,0.6,0.4,0.4,0.6,28.6,31.4,26.9,8.4,25.9
Jurong (West),2020,8,29,7.6,6.4,6.4,6.4,27.2,29.3,25.8,6.9,36.7
Jurong (West),2020,8,30,0,0,0,0,28.6,32.6,25.8,7.7,35.9
Jurong (West),2020,8,31,0,0,0,0,29.1,32.4,27.3,9.9,30.9
